# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
130,1162.349976,1158.078613,1159.479614
131,1161.845703,1157.555786,1158.973877
132,1164.304810,1167.247681,1164.505615
133,1158.672607,1164.153442,1161.096313
134,1154.682373,1162.644531,1162.416504
135,1159.431030,1168.006836,1167.025879
136,1159.124756,1162.511475,1160.642090
137,1165.768677,1164.857788,1165.247070
138,1164.834473,1166.314453,1166.881470
139,1171.640259,1172.788452,1171.867676
140,1179.961060,1178.409790,1177.616577
141,1174.749390,1178.346191,1180.630737
142,1177.180786,1177.481689,1179.315063
143,1177.168091,1173.742676,1175.069580
144,1173.788330,1173.988892,1175.855225
145,1178.592529,1177.041870,1178.127441
146,1186.178223,1183.026489,1183.560669
147,1187.254639,1185.739136,1184.290039
148,1183.977051,1180.351440,1180.934814
149,1189.279785,1187.640747,1186.206055
150,1200.024048,1199.550293,1199.941895
151,1197.146606,1196.380859,1196.454712
152,1195.645020,1197.842896,1196.104492
153,1192.069092,1188.881470,1187.594727
154,1187.594727,1185.107056,1184.195801
155,1187.099365,1182.326660,1183.097778
156,1185.859985,1174.877930,1175.875854
