# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
80,1215.088501,1220.539673,1216.370850
81,1214.345581,1219.792847,1216.733154
82,1212.971924,1214.149536,1214.599365
83,1224.298584,1227.789185,1225.647461
84,1222.581177,1225.286743,1219.712280
85,1211.396973,1207.875854,1211.369751
86,1209.320435,1207.675659,1208.057251
87,1216.786621,1216.128540,1215.186035
88,1213.881958,1213.523315,1213.600952
89,1213.285156,1212.371460,1212.653076
90,1211.384888,1209.841064,1211.473877
91,1209.312500,1209.983032,1210.004639
92,1205.250488,1206.173218,1204.855957
93,1209.782593,1210.069336,1210.542969
94,1213.019287,1214.469482,1213.216431
95,1204.348877,1203.914307,1202.747314
96,1204.804443,1205.837769,1205.624390
97,1205.821899,1204.361572,1206.291626
98,1209.192627,1206.957031,1208.735352
99,1214.269897,1210.263428,1214.211426
100,1216.738159,1214.407593,1218.612671
101,1211.904175,1212.690308,1212.214600
102,1223.931885,1225.726562,1226.291626
103,1229.797119,1236.062622,1233.392456
104,1232.552124,1235.965454,1233.439087
105,1229.911133,1235.382324,1233.327515
106,1229.572144,1232.879150,1231.922729
107,1235.004395,1237.138184,1236.533813
108,1239.128906,1242.080078,1241.411255
109,1235.902344,1240.869507,1237.555542
110,1231.391846,1234.337402,1232.503052
111,1229.586304,1229.772461,1229.406860
112,1229.662476,1230.565186,1229.066772
113,1238.806274,1238.655518,1234.858276
114,1235.722168,1233.910645,1232.437378
115,1232.761475,1225.541870,1226.446289
116,1226.837158,1219.210571,1220.078979
117,1224.407471,1219.044556,1219.951904
118,1223.022217,1219.635376,1218.655640
119,1213.705444,1203.422241,1206.124512
120,1206.568848,1195.955933,1198.188354
121,1195.644165,1190.169067,1189.546875
122,1195.401367,1192.237427,1191.608154
123,1199.343384,1199.795044,1195.528076
124,1196.891846,1197.419067,1193.234253
125,1192.995239,1196.300415,1191.585693
126,1192.529541,1197.296143,1191.510132
127,1188.595093,1193.199097,1189.985474
128,1187.640625,1190.559448,1188.208618
129,1178.695923,1180.767090,1179.801025
130,1165.939575,1163.664307,1165.063354
131,1160.780396,1157.663086,1158.248047
132,1164.885254,1161.461792,1161.462280
133,1173.234131,1169.320312,1169.262451
134,1179.942871,1176.661377,1175.511719
135,1180.120850,1172.505859,1173.052490
136,1183.952271,1178.092651,1175.884766
