# frame_index,fixed_aperture_intensity,tracking_aperture_intensity,raw_centroid_intensity
76,1168.304443,1145.390381,1152.731079
77,1167.301514,1152.172119,1153.863647
78,1169.855957,1157.844849,1161.536499
79,1163.475830,1152.854248,1157.404419
80,1162.861450,1152.135742,1155.264038
81,1164.319336,1152.222534,1155.178955
82,1158.107300,1145.318970,1148.777344
83,1159.367065,1144.089722,1149.355469
84,1162.543457,1147.821899,1152.855591
85,1173.869751,1163.803589,1166.619751
86,1172.336426,1162.264160,1167.581421
87,1172.892700,1169.375122,1172.190430
88,1178.089844,1176.974487,1177.499146
89,1183.092773,1186.715698,1185.536865
90,1192.371826,1196.056763,1192.678711
91,1192.337891,1195.866699,1193.789185
92,1183.166992,1190.682373,1187.734497
93,1181.621338,1185.608521,1183.979492
94,1185.097534,1188.721436,1188.835205
95,1185.361206,1187.675171,1188.513428
96,1186.305908,1190.251465,1191.923096
97,1180.705322,1179.777466,1182.798218
98,1183.934570,1182.879028,1185.158569
99,1183.915283,1180.123657,1181.252075
100,1183.354370,1177.836548,1180.360352
101,1182.564209,1178.733032,1180.755127
102,1181.121460,1178.554199,1180.199829
103,1176.301147,1173.223755,1173.431763
104,1178.682007,1180.056274,1179.524048
105,1186.204102,1191.003174,1187.237549
106,1185.002930,1187.420654,1184.926270
107,1183.387817,1185.839844,1182.964966
108,1179.777344,1182.728149,1178.825439
109,1182.244507,1179.440552,1180.592163
110,1181.498047,1178.858276,1180.786499
111,1191.225586,1189.038696,1190.070312
112,1187.652222,1185.737305,1186.984131
113,1189.734863,1185.877930,1188.712769
114,1191.203735,1187.632080,1190.300415
115,1201.976318,1197.052734,1198.743896
116,1207.045410,1204.380737,1202.743286
117,1212.998901,1211.924194,1211.886353
118,1212.567871,1211.075439,1210.871460
119,1217.781006,1216.068359,1216.652954
120,1212.482666,1212.867920,1214.703979
121,1211.199341,1211.698975,1213.391113
122,1204.268433,1203.338135,1205.195679
123,1202.463501,1199.864380,1201.597900
124,1197.606079,1194.341309,1198.177490
125,1200.799927,1196.616699,1199.749268
126,1197.243774,1192.383423,1196.091675
127,1194.936646,1194.180664,1194.404053
128,1197.642822,1198.104736,1195.971313
129,1199.864990,1204.469238,1202.012085
130,1207.437988,1210.759033,1208.454834
131,1214.749756,1217.560791,1216.625000
132,1206.843994,1211.316528,1209.806519
133,1200.190674,1202.824829,1203.349121
134,1199.416138,1201.139404,1202.507202
135,1196.488525,1194.396240,1196.067993
136,1193.661743,1188.746948,1192.624146
